tracker_id,stamp_ns,elapsed_s,x_m,y_m,z_m,qw,qx,qy,qz
2,1773181731908062428,0.0,2.432384521484375,0.4766201171875,-2.726720947265625,-0.4649662673473358,0.014375314116477966,-0.8851412534713745,0.01116904616355896
2,1773181732004776923,0.096714495,2.4323764648437503,0.475935546875,-2.7242373046875,-0.46035516262054443,0.01607060432434082,-0.8875832557678223,-0.003305375576019287
2,1773181732101663996,0.193601568,2.4319775390625002,0.47746923828125,-2.7225092773437503,-0.45902374386787415,0.01946130394935608,-0.8882101774215698,0.0011017918586730957
2,1773181732197752750,0.289690322,2.432150146484375,0.476831298828125,-2.723068603515625,-0.45862558484077454,0.01676541566848755,-0.8884685635566711,-0.0022735893726348877
2,1773181732293665494,0.385603066,2.43065673828125,0.47592626953125,-2.721239501953125,-0.4634307026863098,0.013065233826637268,-0.8860254287719727,-0.00452345609664917
2,1773181732390467390,0.482404962,2.432183837890625,0.47681445312500004,-2.723246826171875,-0.46069782972335815,0.013721778988838196,-0.8874510526657104,0.00033736228942871094
2,1773181732487113933,0.579051505,2.433025390625,0.47737548828125,-2.725148681640625,-0.46045058965682983,0.017473161220550537,-0.8874962329864502,0.005525052547454834
2,1773181732583592678,0.67553025,2.431239501953125,0.475944091796875,-2.728119873046875,-0.4707111120223999,0.008824706077575684,-0.8821234703063965,0.014538228511810303
2,1773181732681700397,0.773637969,2.4338056640625,0.47598291015625,-2.726124755859375,-0.4585779309272766,0.017656832933425903,-0.8884785175323486,-0.0007624626159667969
2,1773181732776639330,0.868576902,2.4321025390625,0.47733642578125,-2.721052978515625,-0.45988431572914124,0.016644373536109924,-0.8878228068351746,0.00040787458419799805
2,1773181732873791852,0.965729424,2.43464794921875,0.475120361328125,-2.7279970703125,-0.4567297697067261,0.023136593401432037,-0.8893040418624878,0.0009590983390808105
2,1773181732971298062,1.063235634,2.431807373046875,0.4762421875,-2.72232763671875,-0.4621332883834839,0.012195587158203125,-0.8867255449295044,-0.0014188885688781738
2,1773181733066724046,1.158661618,2.43263720703125,0.4759716796875,-2.7249506835937503,-0.4587485194206238,0.011345282196998596,-0.8884932994842529,0.0009699761867523193
2,1773181733163432849,1.255370421,2.432794189453125,0.477246337890625,-2.72503466796875,-0.45804065465927124,0.018397271633148193,-0.8887394666671753,0.001621544361114502
2,1773181733260575451,1.352513023,2.4311201171875,0.475590087890625,-2.722821533203125,-0.46384483575820923,0.006639227271080017,-0.8858903646469116,0.0015474557876586914
2,1773181733356076093,1.448013665,2.43224267578125,0.47505908203125,-2.7253837890625,-0.4664549231529236,0.009161964058876038,-0.8844965696334839,0.0013210475444793701
2,1773181733453542590,1.545480162,2.432503662109375,0.475774169921875,-2.72154443359375,-0.45887938141822815,0.012683913111686707,-0.888405442237854,-0.0021869540214538574
2,1773181733549516480,1.641454052,2.43520654296875,0.47405883789062503,-2.7302541503906252,-0.4630693197250366,0.02028796821832657,-0.8860881924629211,0.001734614372253418
2,1773181733646015896,1.737953468,2.432399169921875,0.47576293945312503,-2.7247348632812503,-0.46129414439201355,0.013464495539665222,-0.8871442079544067,-0.0012723207473754883
2,1773181733742916011,1.834853583,2.424498291015625,0.47731005859375003,-2.72653564453125,-0.4712870419025421,0.02724437415599823,-0.8815469741821289,0.004600614309310913
2,1773181733840202537,1.932140109,2.40851904296875,0.4720576171875,-2.726625732421875,-0.4590761363506317,0.008407235145568848,-0.8883368968963623,0.005995720624923706
2,1773181733936163547,2.028101119,2.37144091796875,0.47875610351562503,-2.7127937011718752,-0.46038001775741577,0.025900714099407196,-0.8873090147972107,0.007894933223724365
2,1773181734032710584,2.124648156,2.326783935546875,0.4763798828125,-2.706026611328125,-0.4636255204677582,0.022711046040058136,-0.88570636510849,0.007735490798950195
2,1773181734129834509,2.221772081,2.279745361328125,0.47414453125,-2.697943603515625,-0.45267611742019653,0.025574341416358948,-0.8913040161132812,0.0027632713317871094
2,1773181734226244780,2.318182352,2.224363037109375,0.47224633789062503,-2.69198779296875,-0.4582187235355377,0.019857801496982574,-0.8885666728019714,0.009522080421447754
2,1773181734322820515,2.414758087,2.1738154296875,0.466109130859375,-2.6841943359375002,-0.4420153796672821,-0.0012889057397842407,-0.8970060348510742,0.0010741353034973145
2,1773181734420326997,2.512264569,2.11647119140625,0.466021728515625,-2.67173828125,-0.4397910237312317,0.008248522877693176,-0.8980541229248047,-0.0038376152515411377
2,1773181734515553772,2.607491344,2.062056884765625,0.4665732421875,-2.6615634765625003,-0.43293750286102295,-0.001688927412033081,-0.9013738632202148,0.009360849857330322
2,1773181734612666977,2.704604549,2.01002392578125,0.46594140625,-2.6520107421875,-0.42511793971061707,0.007112458348274231,-0.9051082730293274,-0.0018034577369689941
2,1773181734709528830,2.801466402,1.9567910156250001,0.467120361328125,-2.6436904296875,-0.4358598589897156,-0.001819610595703125,-0.8998939394950867,0.014627158641815186
2,1773181734806171811,2.898109383,1.9187012939453125,0.46663427734375,-2.63306298828125,-0.410631000995636,0.00661817193031311,-0.9117698669433594,-0.0037683844566345215
2,1773181734902918328,2.9948559,1.8819681396484376,0.46739428710937503,-2.6269128417968752,-0.41095733642578125,0.004865884780883789,-0.9116407632827759,-0.0013036131858825684
2,1773181734998512651,3.090450223,1.85756689453125,0.466329833984375,-2.628461669921875,-0.4088832139968872,0.005316615104675293,-0.9125670790672302,0.0027638375759124756
2,1773181735095530323,3.187467895,1.8450181884765626,0.4621455078125,-2.63121826171875,-0.4011536240577698,-0.00794193148612976,-0.9159549474716187,0.006272405385971069
2,1773181735192643835,3.284581407,1.832672119140625,0.467033935546875,-2.625927490234375,-0.40879911184310913,0.010708451271057129,-0.9125611186027527,-0.0009558498859405518
2,1773181735288713150,3.380650722,1.8350487060546876,0.46175292968750004,-2.631658935546875,-0.40505948662757874,-0.0016602128744125366,-0.9142889380455017,0.00024130940437316895
2,1773181735385215573,3.477153145,1.836712158203125,0.46272705078125,-2.63480126953125,-0.40216270089149475,0.00350402295589447,-0.9155601263046265,0.0016429424285888672
2,1773181735481812504,3.573750076,1.8317073974609375,0.46692431640625,-2.628323486328125,-0.41031402349472046,0.010614916682243347,-0.9118781089782715,0.002849400043487549
2,1773181735578641455,3.670579027,1.8327880859375,0.46668115234375,-2.626300537109375,-0.407513290643692,0.006391748785972595,-0.9131746292114258,-0.0020430386066436768
2,1773181735674170246,3.766107818,1.83443115234375,0.4655830078125,-2.626931884765625,-0.4027787446975708,-0.004667550325393677,-0.9152848720550537,0.0011734962463378906
2,1773181735771221217,3.863158789,1.835587890625,0.465007080078125,-2.62857275390625,-0.3992019295692444,-0.004312098026275635,-0.9168390035629272,0.005063295364379883
2,1773181735867252240,3.959189812,1.832745361328125,0.46536328125,-2.631933349609375,-0.3998027443885803,0.00623871386051178,-0.9165688753128052,0.004526883363723755
2,1773181735963946337,4.055883909,1.8344930419921874,0.466591552734375,-2.6270029296875,-0.4018578827381134,0.001588180661201477,-0.9157001376152039,0.0010646283626556396
2,1773181736060591070,4.152528642,1.83312451171875,0.468953125,-2.628962158203125,-0.41204404830932617,0.0035148561000823975,-0.910971999168396,0.018374204635620117
2,1773181736157561451,4.249499023,1.836729248046875,0.46337280273437503,-2.6285629882812502,-0.39420491456985474,-0.006667718291282654,-0.9189878702163696,-0.004430890083312988
2,1773181736254290847,4.346228419,1.8346804199218751,0.46520141601562504,-2.628116943359375,-0.401757150888443,-0.001012653112411499,-0.9157427549362183,0.002337038516998291
2,1773181736351134721,4.443072293,1.836400390625,0.463529052734375,-2.63419921875,-0.4001768231391907,0.0048847496509552,-0.9164074659347534,0.00568389892578125
2,1773181736447736840,4.539674412,1.833439208984375,0.465504638671875,-2.626029541015625,-0.4035579264163971,-0.0025076866149902344,-0.9149494171142578,-0.0015394091606140137
2,1773181736543498274,4.635435846,1.833181396484375,0.466636962890625,-2.62719091796875,-0.4038268029689789,-0.0005422085523605347,-0.9148234128952026,0.004675507545471191
2,1773181736640814146,4.732751718,1.8338551025390626,0.464688232421875,-2.6241240234375,-0.3999517858028412,-0.013664782047271729,-0.9164333939552307,-0.0013312697410583496
2,1773181736737161786,4.829099358,1.835949951171875,0.462782470703125,-2.63478515625,-0.3937232196331024,0.0008928030729293823,-0.9192066788673401,0.0063665807247161865
2,1773181736835396459,4.927334031,1.834936279296875,0.466452392578125,-2.633237548828125,-0.3985116183757782,0.010481908917427063,-0.917048990726471,0.00999179482460022
2,1773181736931079608,5.02301718,1.8355330810546875,0.465216064453125,-2.6297568359375,-0.398251473903656,-0.002029895782470703,-0.9172540903091431,0.006050974130630493
2,1773181737027159993,5.119097565,1.8370941162109375,0.46301318359375,-2.632590087890625,-0.4005546569824219,0.006637632846832275,-0.9162197709083557,-0.007300734519958496
2,1773181737123312809,5.215250381,1.835041015625,0.4629521484375,-2.626718505859375,-0.39993974566459656,-0.012568444013595581,-0.9164519906044006,-0.0024510324001312256
2,1773181737220441833,5.312379405,1.833549560546875,0.4659462890625,-2.629158447265625,-0.40364518761634827,0.007092773914337158,-0.9148874282836914,-0.0011866390705108643
2,1773181737317262114,5.409199686,1.8336502685546876,0.466021728515625,-2.62514013671875,-0.3990457355976105,-0.00022141635417938232,-0.9169273972511292,-0.0025997161865234375
2,1773181737413398403,5.505335975,1.8342725830078126,0.465687744140625,-2.629536865234375,-0.40179985761642456,0.007135540246963501,-0.9156997203826904,-0.0003015100955963135
2,1773181737533039691,5.624977263,1.83629931640625,0.46382177734375,-2.63207080078125,-0.38856109976768494,-0.011911660432815552,-0.9212626218795776,0.012397438287734985
2,1773181737607054306,5.698991878,1.8346697998046875,0.46504296875,-2.6298359375,-0.39856991171836853,0.001614883542060852,-0.9171285033226013,0.0038608908653259277
2,1773181737703879746,5.795817318,1.8336123046875001,0.466885009765625,-2.63576220703125,-0.40596193075180054,0.009597793221473694,-0.9135943651199341,0.02117133140563965
2,1773181737799759537,5.891697109,1.836092529296875,0.46288037109375,-2.6296813964843753,-0.3940829634666443,-0.004923895001411438,-0.9190616607666016,-0.00030112266540527344
2,1773181737896039012,5.987976584,1.8332845458984375,0.467370361328125,-2.62734033203125,-0.401674747467041,0.01288411021232605,-0.9156898260116577,0.0019324421882629395
2,1773181737993014725,6.084952297,1.833515625,0.467132568359375,-2.63263427734375,-0.40620702505111694,0.01624758541584015,-0.9136103391647339,0.006950706243515015
2,1773181738089336951,6.181274523,1.831521484375,0.46616162109375003,-2.635761962890625,-0.4088689684867859,0.021125540137290955,-0.9123013019561768,0.009286373853683472
2,1773181738186236166,6.278173738,1.834276611328125,0.46375830078125,-2.628803955078125,-0.3948110044002533,-0.00825144350528717,-0.9187192320823669,0.0033578872680664062
2,1773181738283082612,6.375020184,1.832032470703125,0.465047607421875,-2.6325654296875,-0.40569713711738586,0.010959535837173462,-0.913906455039978,0.008048683404922485
2,1773181738380138838,6.47207641,1.8317027587890626,0.46743627929687503,-2.6298579101562503,-0.40761250257492065,0.02125737816095352,-0.9129056334495544,0.0019016563892364502
2,1773181738480791640,6.572729212,1.832214111328125,0.466939453125,-2.6285634765625,-0.4035520553588867,0.01477910578250885,-0.9148350954055786,0.002054572105407715
2,1773181738573587767,6.665525339,1.8410679931640626,0.456047119140625,-2.6320029296875003,-0.3799999952316284,-0.03792881965637207,-0.9242063760757446,-0.0020158886909484863
2,1773181738669717631,6.761655203,1.838228759765625,0.46085205078125,-2.63259765625,-0.3959280550479889,-0.004914596676826477,-0.9182280898094177,-0.008606433868408203
2,1773181738766392021,6.858329593,1.8342587890625,0.463186279296875,-2.626792236328125,-0.39808860421180725,-0.01006878912448883,-0.9172802567481995,-0.004607677459716797
2,1773181738865547455,6.957485027,1.83141259765625,0.467594970703125,-2.62718896484375,-0.4056532382965088,0.014032572507858276,-0.9139145016670227,-0.00298270583152771
2,1773181738958987959,7.050925531,1.837450439453125,0.45998071289062503,-2.6298916015625,-0.3871588110923767,-0.021099284291267395,-0.9217716455459595,-0.0004290640354156494
2,1773181739056366008,7.14830358,1.834093505859375,0.465853759765625,-2.627436279296875,-0.3988654911518097,0.003740951418876648,-0.9170018434524536,-0.00030100345611572266
2,1773181739153053846,7.244991418,1.8313266601562501,0.4663837890625,-2.624731201171875,-0.4035052955150604,0.0011471956968307495,-0.9149765968322754,0.0004158616065979004
2,1773181739249580985,7.341518557,1.838539306640625,0.45913623046875,-2.62923974609375,-0.3818393051624298,-0.027723491191864014,-0.9238115549087524,-0.0016068816184997559
2,1773181739346299587,7.438237159,1.8356505126953124,0.4653525390625,-2.6294719238281252,-0.40365469455718994,-0.011998236179351807,-0.9147325754165649,0.013545423746109009
2,1773181739442456799,7.534394371,1.836625244140625,0.46303271484375,-2.632758056640625,-0.3900800347328186,0.0009783357381820679,-0.9207786917686462,0.001800537109375
2,1773181739539955034,7.631892606,1.83040771484375,0.468616455078125,-2.62936279296875,-0.41043350100517273,0.020700782537460327,-0.9116316437721252,0.006605356931686401
2,1773181739635387250,7.727324822,1.8349041748046875,0.46445288085937503,-2.62924658203125,-0.3993086516857147,0.005932360887527466,-0.9167897701263428,-0.003731667995452881
2,1773181739732393408,7.82433098,1.833221435546875,0.465019775390625,-2.628485107421875,-0.40477466583251953,0.0016490072011947632,-0.914413332939148,0.0017223954200744629
2,1773181739829024758,7.92096233,1.832802734375,0.46517919921875,-2.625115478515625,-0.4008527100086212,-0.0066162943840026855,-0.9161182641983032,0.0008521974086761475
2,1773181739927490422,8.019427994,1.82851220703125,0.469312255859375,-2.62683349609375,-0.4142835736274719,0.01918068528175354,-0.909936249256134,0.004151016473770142
2,1773181740022561655,8.114499227,1.834475830078125,0.46394873046875,-2.6260703125,-0.3986015021800995,-0.005188703536987305,-0.917106032371521,-0.002553999423980713
